subID,Category,Trials,Images,Response,Accuracy,Distance,CategoryCorrect,TotalCorrect,CategoryAccuracy,TotalAccuracy
sub-660,face,Face1,m3,1,correct,174.8617368,5,9,0.625,0.5625
sub-660,face,Face2,f2,0,incorrect,785.327431,5,9,0.625,0.5625
sub-660,face,Face3,m2,0,incorrect,433.7856907,5,9,0.625,0.5625
sub-660,face,Face4,m1,1,correct,104.6363217,5,9,0.625,0.5625
sub-660,face,Face5,f1,1,correct,162.2351028,5,9,0.625,0.5625
sub-660,face,Face6,f3,1,correct,96.19524651,5,9,0.625,0.5625
sub-660,face,Face7,m4,0,incorrect,424.7579941,5,9,0.625,0.5625
sub-660,face,Face8,f4,1,correct,102.7937581,5,9,0.625,0.5625
sub-660,scene,Scene1,s4,1,correct,84.82054852,4,9,0.5,0.5625
sub-660,scene,Scene2,s6,1,correct,111.742843,4,9,0.5,0.5625
sub-660,scene,Scene3,s2,1,correct,126.1561922,4,9,0.5,0.5625
sub-660,scene,Scene4,s7,0,incorrect,242.353407,4,9,0.5,0.5625
sub-660,scene,Scene5,s1,1,correct,87.64622861,4,9,0.5,0.5625
sub-660,scene,Scene6,s8,0,incorrect,729.3373344,4,9,0.5,0.5625
sub-660,scene,Scene7,s5,0,incorrect,211.0132782,4,9,0.5,0.5625
sub-660,scene,Scene8,s3,0,incorrect,751.1736611,4,9,0.5,0.5625
sub-686,face,Face1,m3,1,correct,88.82366036,8,14,1,0.875
sub-686,face,Face2,f3,1,correct,163.0278268,8,14,1,0.875
sub-686,face,Face3,f2,1,correct,119.0628201,8,14,1,0.875
sub-686,face,Face4,m1,1,correct,133.549302,8,14,1,0.875
sub-686,face,Face5,f1,1,correct,164.2962563,8,14,1,0.875
sub-686,face,Face6,m4,1,correct,135.9019999,8,14,1,0.875
sub-686,face,Face7,f4,1,correct,123.4661915,8,14,1,0.875
sub-686,face,Face8,m2,1,correct,87.56413979,8,14,1,0.875
sub-686,scene,Scene1,s6,1,correct,116.006171,6,14,0.75,0.875
sub-686,scene,Scene2,s1,1,correct,105.9721462,6,14,0.75,0.875
sub-686,scene,Scene3,s2,1,correct,117.2816874,6,14,0.75,0.875
sub-686,scene,Scene4,s3,0,incorrect,210.6846959,6,14,0.75,0.875
sub-686,scene,Scene5,s5,0,incorrect,166.2905791,6,14,0.75,0.875
sub-686,scene,Scene6,s4,1,correct,185.8978478,6,14,0.75,0.875
sub-686,scene,Scene7,s8,1,correct,106.9069856,6,14,0.75,0.875
sub-686,scene,Scene8,s7,1,correct,168.9703251,6,14,0.75,0.875